epoch,training_loss1,training_loss2,training_loss3,training_loss4,training_loss5,training_loss6,training_loss7,training_loss8,training_loss9,training_loss10
0,17.8183126331531,17.647019293783423,19.579779099343178,20.265724972729714,15.291381900333016,27.043065592122016,24.15510408016272,13.487934936250456,13.841648889851461,15.222275095577329
1,0.6124624274316783,0.49224799221864785,0.5257289627726578,0.5349170709706695,0.4564718140731343,0.6964027521901337,0.48507763852194274,0.38428009541641794,0.41096997828272563,0.3506036668418682
2,0.5888153475514702,0.5148377336453591,0.5079122038136996,0.5510350627049178,0.43483733020845106,0.6535108794745712,0.48333392894196064,0.33679319681963066,0.4062951315625668,0.3388490179895205
3,0.5385227657612347,0.5003664348792504,0.4910388297417105,0.5381289048475189,0.430261733755769,0.6120082121442254,0.4685728154288086,0.33825466888492,0.38845091409511573,0.3433119432514371
4,0.584510316893053,0.46439691077606865,0.5066167273036197,0.5010234302571509,0.44255812497619623,0.6098813505696294,0.4774805025609514,0.35850397397555134,0.38505069194692865,0.34986352571511403
5,0.5553169343598182,0.4996234012285951,0.5156355162157578,0.574546253140803,0.4780992781654369,0.6840087393916204,0.4939856490171475,0.35510990307603946,0.3703581849571972,0.35570983525555605
6,0.5489955152463972,0.481455551721986,0.4857408575209767,0.5454815709309201,0.4286266892845045,0.650539436766539,0.44641222446545215,0.33567347013554266,0.35700222801411274,0.34514941580033875
7,0.562800251202683,0.48400784738060115,0.48988403369243444,0.5480379196480923,0.4354515906715275,0.6467729669948228,0.4814868792438976,0.3195511817525901,0.3816333933739907,0.3630615440581855
8,0.5547614184656685,0.47695649960410313,0.48444926063578003,0.5194035585780972,0.42982152271755814,0.605573000314121,0.4934621871124648,0.36657273651732836,0.3916090473085337,0.3504993525651006
9,0.5252042999449844,0.4641598135902303,0.4868302359266112,0.5142057808883695,0.42353900369861136,0.6287428969505053,0.4628808428896288,0.3373099068961445,0.38570028264757494,0.3545698659226257
10,0.541544970523493,0.4783576982558192,0.48042820619508986,0.546941599315782,0.4345977030706931,0.6589719476658767,0.4819674714347935,0.3425132105665702,0.3801424677228146,0.3521622776671536
11,0.5211307185128092,0.4410631840276295,0.5171331537577266,0.5072928527242452,0.4392886018183987,0.653093363304185,0.43374339394025563,0.32398666874428517,0.41861149098406286,0.3456924494654007
12,0.603082482009044,0.4583521140836942,0.5159022829006488,0.5296003460748756,0.46554929525055727,0.6259859789348101,0.4819339856929307,0.33848792497342606,0.3918042654962129,0.3429641785663764
